0,0,0,96,0,21,52,0,0,31,0,28,28,0,0,5,0,106,0,2,170,0,0,0,0,0,23,51,0,35,52,0,92,0,0,0,96,0,0,86,0,9,7,15,0,42,0,12,0,68
0,72,51,66,18,0,55,0,85,30,0,76,0,60,0,115,8,105,51,56,96,173,141,230,116,51,107,145,127,82,123,159,199,39,99,143,79,0,117,0,45,0,54,10,48,0,42,85,0,73
11,0,30,0,0,97,81,0,0,79,5,48,0,0,120,75,36,40,188,49,0,217,255,47,195,134,144,128,72,0,1,126,57,36,65,0,110,0,41,12,20,0,0,9,58,0,0,0,0,0
0,26,0,0,67,0,54,44,0,95,0,13,0,141,52,169,82,90,7,0,252,153,111,255,20,187,255,137,255,241,197,0,26,15,176,0,118,73,0,0,7,33,0,31,23,0,22,49,0,3
0,16,53,31,0,1,54,0,0,154,0,65,64,29,127,115,0,0,100,207,220,255,0,193,255,100,202,158,255,0,225,255,0,52,31,0,96,112,139,0,0,30,0,38,0,25,12,0,0,49
0,0,19,20,18,0,0,117,23,0,87,20,72,125,0,24,141,8,255,48,255,144,164,2,151,255,146,148,162,109,230,255,164,107,31,86,124,105,54,99,91,0,12,118,0,0,0,0,65,0
68,7,0,0,30,0,76,0,54,0,46,89,6,0,169,229,134,161,235,255,167,0,116,255,178,214,61,255,140,254,164,255,106,227,53,0,210,0,50,3,189,100,30,0,0,2,0,56,0,63
24,0,66,53,0,21,0,0,18,79,158,88,0,117,169,180,166,230,227,86,220,228,170,185,255,84,102,255,143,152,233,244,117,120,0,33,0,255,0,0,0,160,21,130,0,26,72,51,107,0
0,111,0,32,0,57,0,26,68,0,0,71,0,223,176,231,55,244,153,217,158,154,211,255,223,208,185,146,135,8,7,47,15,189,40,0,0,95,0,136,33,255,171,210,91,100,0,12,12,0
0,0,21,0,0,158,0,125,126,87,104,160,61,156,255,255,0,219,157,151,255,124,128,255,90,108,194,177,194,0,194,0,0,226,0,39,93,67,86,0,61,0,0,223,102,0,27,0,0,72
0,0,24,10,5,74,135,79,0,0,48,255,91,207,194,255,35,150,255,70,255,168,226,120,194,216,200,121,0,130,32,0,84,129,53,0,124,0,0,0,0,37,10,172,194,153,0,11,83,0
24,89,0,38,0,115,57,95,98,255,214,224,25,242,125,255,0,157,255,108,103,219,95,32,255,138,166,123,53,0,4,19,62,29,0,0,0,0,49,0,92,23,122,158,63,35,0,77,32,41
0,0,0,0,0,138,0,0,37,137,255,255,109,97,180,255,91,78,183,152,225,185,162,225,155,1,173,0,129,56,0,0,129,144,83,32,142,0,192,0,181,0,23,0,87,49,81,0,0,0
