0,66,35,0,32,0,18,0,4,0,0,17,10,63,0,0,44,70,0,0,94,144,9,0,0,43,54,4,0,47,67,0,70,31,63,0,9,4,0,76,12,0,21,0,33,0,18,8,0,0
26,0,17,0,15,0,36,18,4,39,8,1,35,57,0,0,56,98,129,94,73,99,255,232,77,181,68,0,116,86,116,144,29,131,194,117,18,17,39,0,61,58,17,0,1,61,0,12,45,47
24,33,0,0,0,0,27,0,0,0,0,34,17,0,28,47,13,170,129,2,0,240,198,171,209,117,153,46,0,0,106,43,16,57,128,12,75,102,17,0,11,0,0,0,8,0,0,0,43,0
12,46,21,0,6,8,11,10,0,0,46,0,55,7,69,81,75,21,0,38,122,229,181,216,193,220,246,222,203,180,123,51,0,126,91,59,24,29,30,39,0,0,22,0,0,0,0,74,0,1
0,50,0,43,0,12,10,1,0,58,0,72,77,178,170,87,37,0,131,196,252,255,190,235,125,184,228,189,228,102,179,133,153,0,18,36,87,51,21,11,2,0,0,16,0,7,0,29,35,0
0,32,21,3,0,37,0,0,0,15,47,33,83,34,40,0,0,105,127,124,246,141,175,112,115,150,254,158,135,152,236,73,113,212,109,0,0,100,102,145,35,40,0,118,0,3,0,32,60,41
0,32,0,38,46,0,24,0,0,0,54,115,53,33,52,163,195,196,146,120,156,182,117,127,102,175,62,188,91,77,202,144,117,137,103,84,0,0,0,0,99,48,0,77,0,66,0,60,88,0
1,0,14,0,66,0,14,21,36,125,20,0,0,2,138,143,198,219,179,175,200,190,255,167,255,227,204,175,199,151,31,204,91,0,0,0,0,0,0,49,205,157,221,196,67,117,55,15,74,0
13,0,0,0,0,0,0,70,74,8,0,27,79,173,165,213,34,108,61,94,134,122,171,245,203,202,206,225,237,127,60,129,31,62,102,0,134,124,95,116,127,255,217,123,97,18,23,0,76,0
32,13,41,9,87,48,123,95,68,15,0,0,209,144,161,247,238,165,255,255,253,255,194,255,255,255,200,201,175,35,49,0,116,233,218,149,121,165,81,106,131,123,117,224,184,0,0,0,38,0
57,0,24,0,4,4,0,84,57,51,165,255,255,255,255,215,86,255,179,233,244,206,148,252,172,185,201,179,74,75,61,152,83,165,167,25,44,122,109,86,141,118,12,128,70,47,0,0,0,0
0,50,75,93,82,132,150,72,103,138,203,240,233,255,255,214,169,156,218,204,202,255,207,239,204,230,187,30,29,101,69,60,0,151,147,104,61,161,79,0,52,23,0,57,59,130,0,101,15,0
0,31,60,44,64,149,29,6,255,255,255,255,161,169,151,180,41,207,242,203,191,169,197,255,99,200,255,178,239,111,0,0,0,0,169,88,0,0,0,0,38,0,0,0,84,168,0,77,0,0
0,0,0,56,7,118,0,0,115,122,253,221,199,204,183,159,0,29,219,255,241,165,255,255,255,252,150,67,64,133,14,13,0,110,98,72,0,0,0,30,0,0,0,0,224,198,0,7,0,0
0,0,0,48,56,103,0,182,151,61,136,94,130,192,255,159,80,0,77,212,255,255,102,149,145,131,0,8,62,146,74,0,136,133,37,11,0,0,0,11,70,23,17,23,5,121,12,0,4,0
0,10,0,73,65,99,191,246,197,255,197,192,131,197,182,225,188,89,53,140,70,135,219,162,94,10,0,0,66,90,32,114,207,181,0,44,110,55,79,114,41,0,0,0,0,157,221,100,16,0
12,22,54,184,101,57,193,227,234,170,128,53,124,59,127,168,136,9,48,219,185,123,56,67,47,91,57,0,0,15,0,19,0,12,19,42,116,0,0,57,50,45,37,110,0,160,255,146,11,0
2,0,0,88,11,121,134,161,249,255,250,215,134,229,199,249,187,65,45,192,159,187,0,0,63,132,240,42,0,29,0,0,0,76,74,10,0,104,46,77,46,0,58,111,0,18,108,129,62,0
33,50,2,61,0,171,151,188,132,253,200,235,132,151,237,221,17,110,5,0,0,0,26,110,115,190,225,255,227,150,0,10,54,29,0,28,16,34,8,0,19,58,20,5,0,0,74,198,130,20
12,50,100,111,61,242,255,255,203,211,164,138,115,74,168,42,48,110,77,27,67,78,19,0,0,180,115,134,91,255,14,0,0,16,0,0,16,0,4,0,0,0,27,0,0,104,0,142,22,0
38,181,212,4,110,192,194,255,174,185,117,137,70,79,0,0,0,0,79,0,43,147,0,0,89,0,60,0,116,74,101,36,0,0,0,0,0,17,0,42,0,0,8,0,111,194,3,50,92,0
