7,0,0,56,0,0,44,0,0,0,20,7,20,0,46,14,0,0
0,35,94,0,3,73,13,63,0,30,36,2,72,86,0,0,38,25
0,20,0,73,63,18,42,16,0,75,0,8,33,0,55,77,0,0
0,42,0,137,5,21,185,0,0,81,6,6,82,43,19,89,61,0
0,40,40,12,10,0,128,0,95,40,0,79,0,0,17,4,10,79
17,94,14,139,0,0,0,0,43,55,62,20,25,0,0,0,16,99
62,72,8,193,41,61,196,184,53,0,86,152,22,0,112,82,0,41
0,3,0,77,127,31,78,113,156,93,130,0,0,80,27,88,55,56
94,69,61,174,2,96,48,58,232,131,188,73,12,68,135,100,0,85
29,54,68,112,73,94,129,231,214,235,225,0,46,53,82,39,43,57
21,36,0,69,53,154,107,125,244,243,255,25,34,46,116,0,0,70
2,60,50,49,50,48,24,122,0,30,43,128,106,113,106,43,22,131
42,0,12,0,25,91,131,154,185,255,186,129,38,74,0,0,94,4
5,0,0,48,128,146,60,76,255,225,107,0,46,68,0,29,13,0
28,0,21,0,130,136,83,16,162,102,104,198,110,89,31,34,25,29
0,0,0,26,52,68,119,0,163,25,86,75,55,0,0,0,0,25
0,0,0,56,0,56,87,0,160,1,92,99,107,0,17,8,2,2
0,0,19,20,68,0,0,0,62,10,36,0,0,23,18,0,0,0
