12,0,16,0,0,27,26,0,25,0,23,2,0,0,0,6,9,0,30,0,0,22,0,0,52,0,16,39,0,9
0,0,1,51,0,53,0,0,92,0,54,64,46,51,77,68,12,26,62,16,67,15,0,30,34,0,22,29,0,2
0,0,17,0,6,32,8,0,43,16,9,62,0,0,0,0,0,34,11,0,57,75,108,28,32,0,20,27,0,34
13,0,0,4,0,0,0,0,94,4,75,58,32,0,7,0,52,30,0,0,0,0,18,37,92,13,1,0,30,0
0,24,0,51,16,24,116,157,0,16,139,163,31,0,7,0,35,64,0,36,120,72,61,59,98,61,81,42,0,48
0,0,0,18,44,83,20,6,0,0,0,90,0,23,0,115,38,0,50,0,10,48,14,0,0,0,154,0,0,0
0,0,0,91,113,91,79,27,16,104,113,83,0,4,12,81,58,0,27,0,0,27,10,8,36,0,106,65,57,52
9,0,72,86,184,31,28,0,0,9,17,140,0,0,34,3,7,0,28,30,0,0,0,11,29,0,0,69,106,0
21,0,3,0,0,0,0,0,0,0,0,42,0,0,103,0,0,0,35,29,13,103,24,38,5,0,0,0,41,89
110,78,146,193,227,211,194,70,23,111,42,253,26,67,148,111,72,63,77,0,79,142,34,6,2,19,55,15,125,102
18,21,46,0,111,0,70,27,0,55,26,210,53,26,56,4,36,0,91,0,1,0,0,0,49,0,0,0,0,60
0,0,86,0,151,0,53,43,112,0,14,255,116,126,89,108,190,116,40,60,0,41,0,67,0,20,88,152,52,90
57,71,103,0,112,72,57,94,113,103,8,209,16,209,137,0,102,87,0,192,165,72,8,142,71,34,104,53,0,64
26,0,66,0,136,41,0,22,46,76,53,119,11,137,182,255,172,0,0,21,54,17,142,174,105,2,0,0,52,60
35,64,70,0,90,194,22,77,69,52,1,167,202,255,190,163,158,15,58,73,0,30,0,105,133,189,82,43,90,25
13,16,94,0,42,117,106,60,56,42,0,192,242,177,159,183,234,226,9,77,111,28,0,28,0,67,59,22,65,70
46,0,53,0,50,137,40,37,68,69,95,176,229,197,209,255,196,255,162,138,172,39,143,255,103,184,96,82,161,173
39,16,71,78,0,120,34,129,62,141,188,125,117,220,255,199,255,240,86,130,56,60,120,111,59,0,0,0,0,36
87,0,138,114,0,195,149,144,184,58,255,133,94,0,74,47,41,0,63,45,41,1,8,155,60,42,0,0,76,138
0,0,0,46,0,0,0,0,2,15,45,36,178,182,56,58,196,71,202,142,159,45,91,92,49,12,50,44,85,0
200,81,37,214,18,128,161,76,105,104,250,172,198,170,34,213,255,21,127,100,109,95,140,103,0,0,4,79,109,59
0,9,0,30,0,6,52,11,37,0,44,143,255,255,255,255,247,140,10,104,112,43,24,33,1,8,22,122,31,0
42,0,0,101,0,0,105,49,150,63,123,92,26,166,201,255,133,183,69,8,37,121,57,26,0,49,59,16,0,27
6,11,0,80,0,1,77,76,102,34,146,62,82,0,255,89,0,73,19,104,84,72,42,48,54,0,29,10,0,0
20,0,0,29,0,62,75,96,100,93,218,58,74,0,191,19,54,116,110,128,49,90,0,16,0,0,12,34,25,45
0,0,0,88,0,30,19,82,63,137,63,9,78,137,230,45,81,137,117,96,158,105,50,0,3,5,0,0,0,3
0,0,6,84,0,6,5,6,68,99,97,57,76,138,136,38,57,67,90,93,96,55,0,0,42,45,57,27,0,0
21,0,76,5,0,0,54,0,26,0,97,53,73,23,102,8,49,136,98,66,117,54,0,0,0,0,22,0,30,1
0,6,0,25,0,27,0,56,0,0,0,53,26,37,68,0,86,58,15,9,0,42,45,0,0,16,1,8,0,12
0,0,0,65,0,17,4,71,2,0,0,54,39,30,0,57,15,2,0,46,0,25,40,0,0,15,9,16,0,2
