55,0,60,0,8,0,51,14,0,68,4,64,0,25,52,3,0,55,0,81
0,141,23,61,30,51,49,214,218,226,255,255,121,58,49,121,24,0,0,92
0,18,0,0,143,2,71,163,133,137,131,247,136,151,62,14,72,25,0,0
13,111,0,0,41,144,255,144,247,134,248,206,42,56,36,24,0,86,0,22
0,36,3,112,159,158,149,255,159,152,171,125,0,11,54,29,23,121,75,0
16,42,95,211,128,197,56,63,255,143,97,99,60,52,109,11,42,0,155,0
0,143,166,230,144,217,152,119,211,112,22,107,0,12,104,35,12,27,5,109
6,64,205,233,127,18,107,12,129,95,134,114,10,0,0,66,34,0,10,203
0,151,154,225,178,147,54,96,127,105,36,160,94,41,21,70,78,0,106,75
57,162,245,189,181,166,162,159,58,112,60,0,144,141,71,0,28,76,194,11
0,160,208,239,187,187,183,104,112,0,165,44,0,25,139,135,12,118,255,78
23,202,224,212,154,216,166,141,255,0,142,110,0,46,13,163,91,28,255,135
54,168,228,191,46,67,11,203,123,103,172,167,0,102,0,166,178,111,225,187
0,255,182,47,1,75,76,60,30,209,79,154,127,255,208,0,18,103,153,6
64,168,175,30,167,255,238,232,81,255,182,153,187,255,174,105,113,241,104,76
0,72,151,119,236,250,255,232,39,184,163,178,151,60,151,96,179,125,80,0
74,86,0,91,254,245,170,64,97,174,168,220,0,169,255,146,206,200,86,22
0,110,0,92,215,241,236,104,224,201,83,145,188,117,6,0,34,64,0,0
0,0,48,92,2,86,105,126,141,166,202,97,118,59,65,127,0,86,19,0
24,84,127,111,255,138,78,167,74,92,187,77,215,125,56,77,119,26,3,78
