0,255,175,63,67,73,95,0,48,122,119,169,197,0,0,255,65,0,255,255
255,255,78,0,199,182,40,76,152,86,0,168,0,7,53,0,255,0,0,0
0,0,255,4,255,0,0,130,70,136,163,82,0,0,11,0,126,123,34,0
255,93,239,0,0,249,196,5,93,31,0,0,255,238,255,0,0,242,59,247
136,0,117,0,13,163,7,0,7,176,255,37,0,0,244,0,255,0,211,0
0,83,0,255,147,0,71,154,159,119,109,0,110,73,0,177,0,253,0,0
46,36,0,156,124,0,255,0,77,183,122,204,86,30,0,64,51,79,0,20
70,89,40,39,0,104,0,255,49,39,255,144,0,198,32,0,35,4,9,35
17,0,108,74,0,158,234,0,255,214,90,35,0,0,142,60,0,61,25,76
144,0,0,33,84,30,82,137,171,255,255,42,135,50,23,42,115,73,0,134
0,122,19,145,8,81,5,255,59,255,65,255,174,43,21,169,22,19,108,7
0,99,8,148,94,70,0,12,63,0,255,142,186,99,120,11,0,128,19,0
27,133,0,0,104,34,0,0,166,196,125,245,0,255,0,0,104,0,0,57
196,0,124,49,0,0,142,255,0,181,172,161,218,0,255,0,145,0,0,0
154,0,255,0,240,0,255,0,155,120,160,0,110,139,7,0,225,74,15,189
137,47,0,238,19,255,0,234,37,114,63,81,0,234,31,22,178,0,0,0
0,0,185,48,0,0,255,60,0,50,113,171,0,0,0,231,0,255,0,0
54,239,0,55,108,236,0,0,143,193,57,119,65,20,46,43,0,146,0,255
0,0,0,255,255,0,214,0,82,62,110,41,26,0,154,216,0,115,255,0
255,255,0,0,255,232,0,165,0,0,57,131,166,0,20,36,0,255,166,2
