0,150,0,0,0,255,0,251,255,255,255,250,255,63,255,255,0,161,255,0,0,91,255,0,255,255,0,0,255,0,9,0,0,12,255,255,255,0,0,0,0,0,36,255,0,0,43,32,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,161,255,0,160,0,0,0,255,0,0,0,0,255,0,255,0,0,255,0,255,0,0,0,255,0,255,255
255,0,255,255,0,0,0,0,255,155,0,0,255,0,0,0,0,255,0,255,255,0,255,0,0,255,0,0,255,0,255,0,255,0,255,0,255,187,0,255,77,255,0,255,0,0,255,255,0,0,22,255,255,0,0,0,255,255,144,0,0,0,0,255,0,0,255,0,0,255,255,0,0,0,0,0,0,0,255,125,255,0,255,0,0,0,0,0,255,255
255,0,0,255,255,0,0,0,0,255,241,255,0,0,255,255,0,0,0,255,0,0,255,194,255,255,255,0,255,230,255,0,255,255,255,0,255,255,0,143,255,255,0,255,0,0,255,0,0,255,255,255,255,0,0,255,0,0,255,255,0,0,0,255,0,255,0,255,0,255,0,255,255,0,0,0,255,129,0,0,255,255,255,255,0,0,0,0,255,255
255,0,255,0,0,255,255,255,67,0,0,255,0,0,0,255,0,0,0,0,0,0,255,0,0,0,255,0,66,0,255,0,0,0,0,255,255,255,0,255,255,0,0,255,0,0,255,255,0,255,0,255,0,255,0,0,0,255,255,255,0,0,0,255,255,0,255,0,255,255,0,0,183,0,0,148,255,0,0,0,255,0,255,118,255,0,0,0,0,255
132,255,0,0,0,180,255,255,0,0,0,0,255,0,0,255,255,0,0,0,255,0,0,0,255,255,0,0,0,249,255,0,255,0,255,255,255,255,0,0,0,255,255,0,0,0,255,255,255,0,0,0,0,255,0,255,0,0,255,255,255,255,0,0,0,0,255,0,0,255,255,0,0,0,255,255,127,255,0,0,255,0,0,255,255,86,255,255,0,0
255,255,0,0,0,0,255,28,255,255,0,42,255,0,0,255,0,0,0,0,242,255,181,255,255,255,255,0,255,0,255,255,255,255,0,255,255,0,0,0,255,0,255,255,0,255,0,255,0,255,0,255,208,255,0,17,255,0,253,0,255,0,255,255,0,0,0,0,0,255,255,255,255,0,255,0,32,97,255,62,255,255,255,255,255,255,0,255,255,0
0,255,0,0,255,0,0,255,0,255,255,255,0,0,0,255,0,0,0,0,0,0,0,255,0,0,255,0,0,0,255,255,255,255,0,0,255,0,255,255,255,255,255,255,0,255,16,255,0,255,0,255,0,0,255,114,255,255,255,255,255,255,255,255,0,0,255,168,0,218,255,255,0,0,255,0,0,255,0,255,255,255,255,255,0,255,255,255,255,0
255,0,0,0,0,0,0,0,255,0,0,255,255,0,0,255,255,0,255,0,0,0,0,0,0,146,0,255,0,255,0,0,255,255,0,0,255,255,255,0,149,255,0,0,0,0,0,0,255,255,0,255,0,255,255,179,77,0,0,0,0,0,221,0,0,0,255,255,255,0,255,255,0,0,0,0,255,255,255,255,0,0,255,255,0,0,0,0,0,0
4,0,0,0,255,0,0,0,0,255,0,255,0,87,0,5,255,255,0,255,0,255,0,0,0,0,255,255,0,255,0,0,0,255,255,0,0,0,255,255,0,255,255,0,0,255,255,0,255,0,0,255,0,255,255,0,255,0,255,255,255,0,0,255,0,255,255,255,255,0,0,0,255,255,0,0,0,0,0,255,0,0,0,255,0,0,216,0,0,255
247,255,255,118,0,0,0,0,255,255,0,0,0,0,255,0,255,255,0,255,0,0,0,255,255,0,0,45,255,255,0,255,0,145,255,0,0,255,255,255,0,0,255,0,0,0,255,0,255,0,0,0,0,0,255,255,255,0,0,0,0,74,0,255,0,0,0,0,255,0,255,255,78,0,207,255,255,255,255,255,255,255,253,0,255,0,255,117,0,255
255,0,255,255,0,0,0,0,255,255,0,255,255,0,255,0,0,0,255,0,0,0,0,0,255,0,0,255,0,255,255,255,255,0,255,255,0,0,255,255,255,0,0,255,0,0,255,0,0,101,255,255,0,0,255,0,255,0,255,0,255,241,255,247,0,0,255,255,255,255,0,29,255,255,0,255,255,0,0,255,255,0,255,20,0,255,255,0,255,92
0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,255,0,255,255,255,0,255,255,255,0,33,255,19,255,255,0,0,0,0,0,255,255,255,0,0,245,255,255,255,255,255,0,0,27,0,255,0,255,255,0,255,0,255,0,255,255,0,255,0,0,255,255,0,0,0,255,0,255,0,0,255,255,228,255,0,0,255,0,0,255,0,0,255,0
0,0,255,0,255,0,180,0,0,0,255,0,0,255,255,0,118,0,0,255,255,0,0,0,255,0,0,0,0,255,255,0,255,72,0,0,255,0,0,0,255,0,255,0,255,0,255,255,255,255,0,0,0,255,67,255,255,0,0,0,0,255,0,255,0,255,0,255,0,255,0,0,0,255,0,255,255,228,0,255,255,0,0,0,255,75,255,255,0,0
219,0,0,255,0,255,255,0,0,255,255,0,255,255,255,255,255,0,0,255,255,255,200,0,255,255,255,0,0,0,255,255,0,255,255,0,255,0,255,0,0,0,255,255,255,0,255,255,0,159,255,255,10,0,0,0,255,0,182,255,0,255,0,0,0,0,255,255,219,255,255,255,255,255,255,0,255,255,255,0,255,255,0,0,255,0,255,255,255,255
