37,16,19,19,19,19,19,20,47,68,67,108,86,61,77,81,77,65,39,19,19,19,19,16,38
16,0,0,0,0,0,31,77,76,53,147,183,180,162,123,75,54,60,42,5,0,0,0,0,17
19,0,0,0,0,40,85,54,47,149,211,158,166,196,185,188,126,50,49,73,51,1,0,0,20
19,0,0,1,30,49,39,145,170,187,195,189,199,185,174,189,136,50,2,41,128,42,0,0,20
19,0,0,50,45,17,147,199,160,192,194,207,200,186,108,56,72,39,7,15,51,131,56,0,20
19,0,30,60,50,173,204,190,125,194,192,189,194,140,37,0,31,61,12,29,33,68,94,8,20
19,13,60,52,180,202,192,182,70,180,191,187,166,64,97,9,39,74,2,55,32,9,105,31,20
19,52,76,146,202,176,189,200,102,154,185,159,79,2,43,37,109,45,0,2,0,0,123,105,20
24,83,97,199,194,127,161,203,99,91,141,97,108,92,13,17,54,8,0,5,22,11,32,154,26
45,106,125,209,199,157,60,70,68,60,81,58,162,209,151,12,0,0,0,25,26,18,41,136,59
65,66,165,210,203,194,141,36,147,120,123,115,82,95,164,108,55,14,0,21,33,26,151,81,60
67,60,202,210,204,200,152,78,204,145,109,93,93,6,70,157,132,107,24,0,23,37,186,81,58
67,99,215,211,202,189,165,160,156,96,78,66,81,29,0,67,97,161,144,19,0,81,199,106,62
78,124,209,200,198,197,193,200,158,162,115,6,54,101,3,0,26,59,150,62,0,118,198,153,80
118,147,200,198,196,176,177,140,105,217,178,44,163,108,48,57,0,10,68,131,35,120,185,184,96
127,165,190,196,130,45,44,18,47,175,117,90,239,151,25,55,82,40,17,103,73,135,174,176,95
107,161,182,184,45,0,58,28,24,43,71,92,207,99,5,194,255,224,34,19,70,164,178,186,82
94,145,182,163,11,124,255,174,215,206,76,233,255,193,25,224,255,255,138,22,129,181,190,158,37
72,106,157,156,37,246,255,255,255,199,144,255,248,255,79,169,254,239,233,68,185,187,181,49,20
24,65,60,89,92,255,245,179,241,184,135,255,255,255,114,66,255,247,255,80,174,198,107,2,20
19,39,29,0,135,255,236,214,255,142,94,244,157,210,84,17,112,228,219,53,159,191,47,0,20
19,7,70,7,100,255,255,255,220,69,122,192,38,181,135,134,116,38,8,0,123,167,0,0,20
19,0,42,97,71,64,146,142,103,171,138,231,214,215,115,67,70,70,32,82,174,28,0,0,20
16,0,2,39,180,135,43,63,132,81,59,95,207,125,62,97,59,31,66,82,24,0,0,0,17
38,17,20,20,82,172,145,80,59,87,74,85,173,122,88,100,94,87,83,45,20,20,20,17,38
