2,0,0,0,2,4,1,1,1,1,1,1,2,3,10,13,8,4,2,1,1,1,1,0,1,0,9,17,3,0
0,0,0,4,3,1,1,1,1,1,8,32,43,58,47,35,12,12,41,54,42,20,3,1,1,1,1,3,14,1
0,0,2,7,1,1,1,1,6,40,38,25,8,3,3,4,4,4,6,18,54,84,75,37,6,1,1,1,2,19
0,0,8,2,1,1,7,44,44,28,22,19,5,3,2,3,2,2,2,4,8,13,24,45,66,20,1,1,1,3
0,4,2,1,1,37,84,97,21,17,67,58,4,6,2,4,2,1,2,6,56,70,3,4,11,44,30,2,1,1
0,5,1,1,35,89,95,59,3,59,75,61,5,12,27,55,57,2,2,3,55,65,1,2,2,27,103,38,2,1
4,2,1,35,74,86,63,5,4,77,78,25,2,14,41,60,62,4,4,2,13,17,1,1,1,2,64,101,44,1
5,1,21,66,76,48,6,2,4,43,24,4,3,69,98,37,8,6,4,2,4,9,2,1,1,4,14,82,96,25
2,1,63,67,41,45,48,6,4,5,3,5,6,32,68,33,7,13,8,17,23,20,4,2,1,2,3,39,93,73
1,14,81,49,31,94,89,16,5,4,4,20,21,29,94,38,18,35,30,33,26,25,9,4,3,2,2,3,67,81
1,39,87,14,43,72,68,26,19,24,64,99,95,66,76,49,76,19,32,36,31,7,9,9,9,4,13,2,21,76
1,56,82,7,53,46,54,61,62,81,92,93,96,102,79,102,112,100,74,103,16,21,20,46,10,7,85,50,3,72
1,63,68,5,55,55,56,46,75,73,73,62,95,119,118,128,123,55,45,109,40,26,62,104,53,49,89,57,20,56
1,69,58,8,59,68,77,53,77,72,74,60,118,204,220,190,99,36,32,41,18,47,106,107,105,102,62,7,81,54
1,67,57,7,64,85,76,61,66,69,65,46,225,226,210,226,238,60,14,28,12,27,74,86,99,105,53,25,87,67
2,55,73,5,67,82,102,69,59,41,65,117,241,223,202,205,234,139,61,69,64,9,21,30,79,106,66,22,81,83
2,42,81,4,65,86,104,93,86,87,119,117,219,230,215,205,251,196,123,61,53,61,88,90,56,72,29,13,30,93
3,21,83,12,35,84,87,88,92,107,123,90,87,208,193,217,254,147,130,112,66,64,79,90,89,9,4,3,31,93
2,2,75,38,6,49,83,88,90,117,121,90,50,57,98,114,78,95,128,123,94,95,92,93,90,12,4,7,75,91
1,1,14,64,6,7,24,34,54,115,99,100,219,145,88,105,111,78,120,122,99,94,95,86,57,5,4,33,96,34
1,1,1,21,22,6,13,49,69,85,140,101,195,245,117,216,246,73,89,85,102,41,43,12,6,2,6,85,68,2
1,1,1,2,16,14,48,82,42,31,39,84,160,251,237,253,241,120,38,75,106,82,10,4,4,5,66,91,11,1
1,1,1,1,2,7,40,86,94,89,47,55,63,166,180,199,122,143,33,25,68,106,60,5,17,60,51,9,1,1
1,1,1,1,1,1,45,101,102,105,89,79,46,102,216,54,55,89,62,89,99,60,31,19,28,8,2,1,1,1
1,1,1,1,1,1,19,96,104,96,99,88,74,91,191,51,93,101,107,106,99,79,6,3,2,1,1,1,1,1
2,1,1,1,1,1,2,57,100,100,99,79,58,123,150,69,91,102,103,110,111,84,2,1,1,1,1,1,1,1
24,2,1,1,1,1,1,7,48,76,98,58,65,137,114,71,53,85,100,111,107,36,1,1,1,1,1,1,1,19
11,19,1,1,1,1,1,1,5,10,83,65,49,51,72,18,36,94,89,90,49,2,1,1,1,1,1,1,17,4
0,17,22,2,1,1,1,1,1,4,19,35,12,28,41,35,52,67,8,18,3,1,1,1,1,1,1,19,5,1
0,0,11,21,12,1,1,1,1,2,2,3,28,4,11,22,16,10,3,2,2,1,1,1,1,3,21,3,0,0
