1,0,2,1,1,1,1,8,28,31,12,7,1,1,1,1,16,0
0,2,2,1,1,29,34,9,3,4,4,13,65,73,16,1,1,12
0,5,1,32,96,10,73,3,2,2,2,5,62,4,22,26,1,1
4,1,35,98,36,38,78,4,13,94,3,2,62,1,2,41,67,1
3,21,72,29,2,26,13,3,102,21,6,3,6,2,1,4,82,56
1,78,26,94,14,4,3,17,69,29,33,35,22,8,2,2,9,86
1,87,43,59,41,40,95,106,81,94,43,68,14,12,12,7,8,64
4,67,35,54,46,70,72,95,120,144,55,100,14,63,83,60,57,32
4,55,49,87,56,70,57,191,221,238,58,12,11,95,106,102,19,61
2,77,37,89,76,57,112,238,213,212,170,68,46,45,44,102,19,64
2,83,12,84,88,97,121,89,201,237,146,124,83,79,90,5,3,90
1,32,8,21,59,116,101,153,83,85,87,125,89,94,86,4,19,87
1,1,28,6,77,48,81,177,200,247,79,61,89,18,6,2,97,4
1,1,1,12,86,97,60,64,204,169,142,35,87,59,10,60,10,1
1,1,1,2,99,103,85,69,238,56,96,108,95,10,4,1,1,1
1,1,1,1,33,99,88,56,224,75,97,110,110,2,1,1,1,1
24,1,1,1,1,6,86,49,68,19,93,88,26,1,1,1,1,12
0,26,6,1,1,3,4,21,14,22,25,3,1,1,1,2,13,0
