50,17,20,20,20,20,20,20,24,24,21,21,21,21,21,21,21,21,21,21,21,20,20,20,20,20,20,21,20,20,20,20,21,21,21,21,21,21,20,20,21,20,20,21,39,41,24,23,17,39
22,0,0,0,0,0,0,5,3,1,1,1,1,1,1,1,1,1,0,0,3,11,21,28,44,49,39,20,15,15,16,7,0,0,0,0,0,0,1,1,1,0,0,1,2,13,21,6,0,17
20,0,0,0,0,1,7,3,1,1,1,1,1,1,1,0,0,3,16,40,50,61,71,62,50,39,21,9,6,13,42,68,63,50,34,17,3,0,0,1,1,0,1,1,0,0,6,18,7,20
20,0,0,0,0,9,5,1,1,1,1,1,1,1,0,3,26,46,59,54,32,23,16,8,4,2,3,5,4,2,3,29,55,83,96,92,73,43,12,0,0,1,1,1,0,1,1,3,20,26
20,0,0,0,7,9,2,1,1,1,1,1,0,1,16,54,57,28,13,6,4,1,0,1,3,4,4,4,3,4,5,2,1,13,42,69,94,92,63,55,18,0,0,1,1,1,1,1,5,44
20,0,0,4,9,2,2,1,1,0,0,1,18,35,39,53,17,9,23,7,7,5,2,1,2,4,2,2,2,2,2,3,3,3,0,4,23,38,38,74,80,42,4,0,1,1,1,1,1,28
20,0,0,10,5,2,1,1,0,2,17,54,93,87,38,7,6,46,70,17,2,6,4,2,2,2,1,2,2,1,1,3,5,5,35,40,7,2,6,21,45,62,35,2,0,1,1,1,1,21
20,0,4,5,1,1,1,0,6,54,84,103,104,55,6,6,36,70,85,40,2,5,5,2,1,1,0,0,1,2,1,6,4,17,83,88,35,0,2,2,2,18,45,43,12,0,1,1,1,21
20,1,7,1,1,1,0,7,52,88,106,103,82,16,1,28,76,83,85,51,4,17,13,4,8,20,51,24,0,2,1,9,5,24,83,83,35,0,2,3,2,1,52,107,81,17,0,1,1,20
20,4,4,1,1,0,7,51,79,104,94,87,46,2,2,48,80,69,79,40,2,7,9,9,45,47,103,78,3,1,2,1,1,12,69,73,28,0,1,2,2,1,11,88,112,81,13,0,1,21
20,6,2,1,0,6,54,70,96,91,80,55,5,1,6,63,91,80,70,16,1,2,2,16,13,41,109,77,9,3,4,2,1,2,30,36,6,0,1,1,1,2,0,31,97,108,80,23,0,21
24,5,1,0,3,47,68,84,80,77,51,7,1,1,8,59,84,73,33,4,1,1,34,95,71,31,76,35,2,2,6,3,2,2,7,6,1,1,1,1,1,1,1,5,57,98,106,82,16,20
