15,15,5,0,0,0,0,0,8,0,0,39,88,0,21,23,33,25,0,0,0,0,25,0,3
39,0,45,8,35,15,18,183,128,18,187,218,231,207,138,131,54,88,75,17,66,25,16,59,0
0,44,0,0,0,62,18,57,43,162,207,135,163,191,152,221,98,51,28,70,41,0,0,25,0
0,74,0,10,12,91,0,229,179,169,176,189,240,156,195,219,164,20,9,66,135,44,0,35,16
9,29,1,50,36,0,110,240,197,151,196,217,248,188,91,27,66,22,0,0,47,146,56,0,0
19,1,0,61,33,209,157,180,181,193,188,135,235,117,8,0,65,44,30,33,18,17,101,44,0
0,29,67,51,180,219,132,198,95,138,219,155,218,78,92,32,43,109,15,73,50,0,147,26,33
0,84,66,110,194,172,118,197,146,200,179,138,118,0,72,51,112,25,0,0,41,0,150,113,0
1,99,55,217,208,150,161,202,183,40,174,55,117,108,0,43,36,13,0,0,23,0,36,192,1
0,150,109,239,180,142,0,23,102,57,100,59,163,255,176,0,47,0,0,28,17,0,57,179,9
3,78,170,213,218,208,166,1,186,144,95,135,32,75,180,113,29,21,0,32,23,20,206,111,0
23,64,233,213,246,187,136,38,219,172,95,116,58,0,69,178,140,112,0,7,0,22,185,119,11
72,132,225,199,182,175,183,132,167,115,111,122,98,30,0,93,52,215,133,14,0,77,233,174,20
0,136,208,183,199,197,223,103,140,161,88,0,25,118,0,0,0,5,174,83,0,113,172,168,21
57,215,191,192,220,158,254,122,127,239,244,17,160,71,56,99,0,44,72,157,0,129,185,160,39
61,142,209,171,129,24,27,0,11,196,120,110,255,179,0,31,74,25,23,108,79,160,169,247,38
63,218,215,229,10,15,21,34,0,15,115,57,193,92,19,200,255,212,0,0,49,176,146,255,33
40,164,175,140,0,162,255,195,183,241,114,255,255,174,34,238,247,255,160,0,117,152,153,209,0
0,144,173,186,0,255,217,255,243,160,138,251,255,240,83,184,255,208,255,15,212,187,157,116,0
0,110,45,132,56,255,247,196,222,153,199,251,255,243,115,35,255,214,255,29,169,208,97,23,0
0,72,0,12,101,255,155,254,255,155,111,255,150,222,64,0,104,250,242,38,179,240,40,84,3
8,46,35,39,69,255,241,245,208,6,103,182,5,225,150,194,155,48,0,0,99,153,0,19,0
0,40,41,80,0,60,150,196,105,255,158,255,191,255,100,36,38,137,5,57,190,78,0,25,32
0,11,47,84,159,146,30,76,116,8,42,80,221,128,34,104,28,70,12,98,57,0,0,9,15
65,38,0,17,0,172,114,70,25,90,74,58,180,111,97,44,76,108,75,0,0,0,54,25,21
