0,131,110,0,0,219,27,78,147,0,0,246,255,0,0,255,0,255,0,244,168,140,0,52,43
255,0,66,0,0,0,0,51,58,253,0,93,0,255,0,0,183,85,0,255,0,0,255,0,27
255,0,169,255,1,255,255,247,0,0,255,0,88,243,0,255,0,255,244,0,94,0,255,205,84
0,0,196,255,0,255,186,255,252,255,255,255,255,255,255,255,255,38,255,255,255,0,112,255,255
0,0,0,0,0,0,0,255,0,255,194,255,255,255,0,255,0,255,177,150,255,67,166,128,1
0,164,0,219,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,97,0,57,0,0
51,70,0,0,0,212,255,173,0,0,0,0,0,0,0,0,0,0,0,95,0,0,127,0,250
0,255,255,255,82,14,0,255,255,255,255,255,255,255,255,255,255,176,0,0,87,0,255,255,0
200,79,255,255,255,255,255,255,255,255,255,121,255,0,0,0,255,0,255,255,255,255,255,0,0
121,255,255,255,255,255,255,194,236,255,66,135,140,255,255,255,0,0,0,0,0,0,0,0,56
0,0,0,0,0,0,255,185,255,255,255,255,255,255,0,255,73,0,86,0,0,0,255,0,187
0,0,157,255,0,0,0,0,255,255,237,0,255,0,0,0,255,59,255,55,255,182,255,186,203
0,0,0,0,255,255,0,0,0,0,0,172,15,0,0,0,0,255,68,255,255,205,255,255,158
147,170,6,0,0,0,0,0,0,0,0,0,0,0,112,255,255,255,0,0,0,0,209,255,61
255,255,204,32,0,255,0,0,0,0,0,0,0,255,0,86,0,255,255,203,0,0,0,0,0
0,0,0,0,0,58,0,0,0,255,255,255,255,0,0,0,0,0,0,0,255,190,0,0,0
0,0,0,96,0,88,0,255,255,255,255,255,255,255,0,0,255,255,168,255,255,255,255,255,255
214,255,255,255,255,255,255,255,255,179,0,35,0,255,255,255,238,255,0,113,215,0,0,213,6
199,255,255,255,255,255,255,255,0,65,235,112,0,187,0,0,197,0,0,0,0,0,0,0,225
0,0,0,0,255,0,0,0,233,255,255,255,255,255,0,255,58,255,255,0,0,20,0,0,0
0,35,255,0,255,255,255,255,255,255,49,255,255,255,255,255,255,255,255,255,255,255,0,0,32
255,255,88,131,0,87,255,0,0,255,0,0,0,0,0,0,0,255,0,13,106,0,66,165,143
255,0,126,255,3,51,255,255,0,255,255,255,255,255,255,255,76,0,0,255,255,0,154,255,255
110,80,0,255,224,255,0,0,0,0,0,0,255,174,0,0,153,0,0,188,0,0,255,255,0
0,255,0,255,204,0,255,255,0,0,99,231,241,255,0,255,0,255,255,0,0,255,0,0,172
