0,16,0,4,16,0,46,0,2,0,0,18,11,0,0,31,6,0,0,0,2,0,0,32,0,22,13,15,7,6
0,29,2,0,34,0,33,0,0,14,4,23,49,89,62,14,36,16,44,63,60,0,0,17,0,8,15,6,28,0
6,0,0,15,23,0,19,0,0,47,31,36,0,44,14,0,15,0,0,2,40,103,77,65,7,0,0,21,0,18
17,18,22,20,0,1,11,54,47,5,5,23,0,0,22,0,0,39,0,0,0,1,62,20,67,8,30,27,0,4
27,0,17,0,22,0,124,94,29,12,62,71,0,0,8,17,20,21,0,3,45,76,36,0,0,102,0,0,0,26
11,0,14,15,54,115,146,77,0,84,61,102,10,7,41,65,82,5,0,0,48,133,0,0,0,0,145,70,0,0
0,0,3,22,0,86,100,0,0,45,55,50,2,0,0,89,103,0,0,0,0,36,0,0,0,0,87,108,11,3
13,1,50,75,66,53,6,0,26,59,0,24,0,89,97,74,0,21,15,0,16,38,9,0,0,38,7,56,115,66
0,0,70,112,14,32,84,0,0,6,0,1,0,22,60,75,68,0,0,6,39,0,0,7,26,0,0,60,93,87
10,0,100,31,0,133,107,12,4,27,0,24,40,25,64,59,0,42,15,54,85,37,26,1,0,0,5,30,64,70
55,69,76,24,17,113,64,50,0,53,49,75,117,58,106,90,77,33,0,48,29,0,0,0,58,20,0,0,0,80
30,73,67,22,58,27,34,40,24,103,115,106,89,96,90,100,134,73,58,157,9,27,0,47,18,0,86,80,0,83
17,40,67,0,74,98,73,64,67,31,104,61,54,90,90,121,123,106,58,103,57,11,55,110,90,39,70,62,28,52
57,8,101,0,34,57,63,28,123,59,54,39,17,159,251,183,107,16,32,82,0,31,98,70,115,82,77,3,50,84
39,38,46,0,68,93,48,21,79,52,142,65,235,230,190,255,199,80,7,0,14,0,87,68,130,106,37,46,96,78
53,37,85,0,82,99,100,53,73,5,48,140,221,216,211,186,194,105,67,49,70,11,50,20,68,148,74,6,51,72
45,25,60,0,103,82,120,110,129,98,119,131,164,255,186,184,196,255,122,39,57,65,59,61,38,91,15,9,28,71
69,21,148,59,32,116,72,83,57,120,175,72,103,166,155,250,243,226,119,98,32,45,92,145,97,27,21,26,31,78
67,0,30,9,0,101,83,84,88,109,88,85,42,131,191,149,54,120,155,148,100,58,92,34,30,0,0,0,30,117
0,0,16,97,3,15,24,69,56,131,105,171,170,105,95,70,83,101,172,166,129,105,93,140,100,15,0,45,89,63
13,0,0,51,17,16,54,36,49,67,125,91,204,185,142,153,255,107,119,117,75,69,35,34,0,0,36,57,104,10
0,0,0,0,0,0,2,63,63,27,40,115,238,209,255,255,255,92,8,98,86,73,38,23,32,0,53,89,33,6
3,0,42,12,27,46,44,94,113,57,24,20,100,175,228,196,157,175,13,16,52,123,99,0,3,63,92,22,0,0
49,0,0,0,8,0,23,146,96,90,62,90,0,69,200,92,62,85,90,103,92,80,53,30,33,0,0,14,1,1
29,0,8,0,26,0,88,53,82,103,91,155,93,109,169,16,76,61,87,117,77,65,17,3,0,19,30,8,11,4
0,26,0,2,58,0,11,50,119,85,111,91,35,124,91,84,133,86,95,136,130,82,26,2,0,0,29,0,31,0
0,0,0,0,48,0,5,0,24,113,94,65,82,156,88,73,55,124,98,78,127,55,0,12,0,0,0,0,0,1
33,0,3,30,17,0,42,0,12,28,112,55,99,48,16,45,29,120,96,110,78,0,0,0,15,17,20,0,11,19
0,22,7,24,4,0,14,0,27,22,0,90,4,5,0,53,87,52,9,24,3,13,18,0,0,0,1,28,10,17
0,14,0,35,0,15,13,14,42,0,0,51,24,0,11,0,59,18,1,0,0,24,0,0,31,0,5,3,0,32
