0,0,35,0,40,0,36,0,101,0,0,62,0,11,43,0,75,98,0,0,105,54,0,63,3,0,0,0,3,33,0,105,100,0,0,0
0,99,29,0,78,0,102,0,67,0,0,63,151,155,0,78,241,255,234,167,54,103,38,219,186,193,101,67,28,92,0,0,55,103,0,75
14,0,2,44,0,72,0,0,19,10,195,31,8,49,57,131,181,127,12,255,116,204,0,71,0,0,0,0,0,0,0,11,10,0,0,0
30,0,47,0,0,73,40,0,71,79,130,0,116,88,255,88,255,113,179,255,89,224,141,230,153,0,117,182,78,67,0,167,8,0,35,40
49,137,0,0,0,0,54,23,128,0,95,0,208,143,194,163,173,187,193,255,160,255,133,216,215,126,0,0,139,115,0,124,3,59,0,98
0,2,50,148,23,68,29,108,99,0,255,83,255,255,77,124,192,81,99,166,117,132,129,239,55,0,36,44,0,91,245,0,117,0,6,0
0,14,0,0,5,0,67,130,44,130,255,252,121,186,129,255,255,198,255,255,104,190,33,59,141,0,58,0,77,0,167,203,0,16,123,33
28,17,49,74,0,94,2,164,134,255,108,164,245,255,164,169,242,91,255,234,12,41,0,0,36,31,110,0,0,0,41,167,133,0,20,0
59,0,2,0,85,0,3,234,181,133,176,179,102,215,196,255,255,255,255,223,51,237,0,141,61,0,66,134,98,97,18,26,22,141,0,0
0,18,0,39,0,63,128,255,136,215,171,133,0,192,118,127,49,91,58,56,0,107,0,0,0,136,24,0,20,53,19,33,100,41,14,17
36,129,0,119,5,191,136,255,218,130,255,200,92,239,156,235,255,255,83,0,0,255,111,93,224,0,60,0,0,74,0,0,30,255,0,0
0,76,44,188,72,219,172,237,58,237,183,53,212,0,194,69,97,0,154,31,0,0,62,102,116,82,64,94,29,6,0,72,0,255,149,33
42,56,101,0,255,191,255,238,98,121,148,90,113,255,56,179,94,169,110,54,90,60,31,14,25,24,37,0,143,0,88,95,0,0,165,0
0,37,97,0,232,105,229,255,67,97,255,149,0,153,0,145,0,106,255,212,239,0,51,39,86,0,0,55,0,0,50,0,100,53,255,203
139,109,119,73,241,127,133,231,6,15,0,82,84,255,0,198,96,76,255,102,255,112,76,0,70,53,0,0,127,0,130,19,161,86,25,107
0,198,0,107,168,222,75,255,255,255,0,0,162,205,176,0,224,64,54,0,63,186,191,79,255,0,0,46,0,25,59,0,171,87,72,0
0,52,48,73,149,177,247,167,35,246,0,143,206,255,118,19,134,203,0,0,96,177,177,0,213,110,47,71,38,9,75,75,226,246,76,0
121,121,39,255,255,255,182,255,115,56,240,0,150,255,129,29,222,136,162,38,72,0,101,102,235,80,87,0,0,30,0,61,149,173,149,202
0,0,49,239,182,73,206,255,255,255,255,252,255,231,0,86,165,73,29,0,0,0,29,255,140,239,240,253,21,0,0,43,136,108,0,0
0,107,109,188,221,255,255,164,162,167,204,252,86,255,49,137,0,87,9,255,36,44,0,0,0,0,5,164,34,0,112,139,243,255,255,102
82,91,165,239,173,37,174,133,156,107,50,0,0,222,0,213,28,140,0,239,56,32,18,245,148,120,91,155,88,0,126,132,255,194,150,94
33,0,196,124,243,151,255,119,255,154,184,110,90,255,117,0,0,136,107,0,0,76,21,0,0,0,48,0,84,0,0,184,0,177,70,38
5,255,255,216,202,255,209,209,51,111,0,39,0,255,255,220,255,182,255,255,0,113,255,118,159,0,36,211,180,226,150,7,142,179,232,182
11,191,192,255,113,168,47,12,167,0,14,173,11,139,0,0,0,167,255,152,0,0,59,155,255,180,0,0,54,215,1,237,250,177,183,71
35,211,25,119,140,211,40,0,4,92,0,10,0,162,0,130,194,200,237,103,89,111,255,213,255,177,159,0,0,5,140,230,105,215,117,78
30,231,124,231,145,250,0,89,255,255,239,116,241,255,49,70,166,255,182,142,0,82,195,157,255,255,255,36,0,145,120,180,250,144,255,36
10,194,21,117,169,132,0,172,212,243,0,161,255,255,0,255,255,255,218,255,255,0,255,146,255,201,238,78,0,187,100,135,176,146,79,0
0,255,0,154,255,214,4,162,255,230,209,255,139,255,0,251,255,91,193,130,255,19,255,240,255,127,255,255,85,226,255,255,221,64,24,0
0,0,0,0,221,0,60,255,255,255,198,254,255,255,35,117,255,154,255,255,255,77,112,193,211,255,138,219,42,17,255,153,158,0,25,101
0,113,133,0,0,7,0,255,249,191,0,98,255,158,94,174,255,255,202,255,83,0,0,0,193,244,255,255,108,199,253,160,76,78,33,0
41,0,6,165,0,74,97,255,255,175,150,229,255,255,0,93,248,34,91,157,255,107,255,83,167,184,129,117,0,44,61,156,54,0,0,0
11,0,62,87,0,0,85,255,245,255,255,252,255,0,12,107,255,9,0,71,148,1,237,236,158,72,0,0,66,176,255,242,58,118,72,0
15,0,95,0,48,9,0,80,216,255,255,108,255,44,255,255,211,255,227,225,255,148,0,0,100,131,60,0,0,0,255,0,19,0,130,25
83,73,34,0,49,165,194,33,36,108,62,0,192,225,92,72,172,235,246,94,117,4,205,153,85,0,161,57,119,255,0,0,15,56,0,0
0,53,0,57,41,58,150,161,18,0,0,127,233,0,60,155,0,0,255,0,181,48,86,74,0,2,97,77,92,0,0,0,48,0,0,0
73,91,134,67,151,48,150,173,255,254,163,0,116,0,98,213,26,165,230,255,119,147,129,199,93,155,169,2,47,0,0,101,68,47,98,142
