0,255,0,239,44,71,11,0,255,0,255,0,223,0,240,0,0,30,0,217,0,0,0,178,0,0,0,183,0,255,0,21,245,0,40,186,145,0,255,58,86,81,30,50,74,0,0,113,0,0,161,93,0,19,0,237,0,85,0,255,0,130,190,165,0,0,0,225,0,0,0,166,0,139,0
0,0,255,0,0,255,0,255,0,0,124,255,0,84,6,0,255,0,0,255,2,0,0,83,255,255,0,0,66,170,0,0,147,0,255,0,95,0,0,255,0,50,0,255,0,255,0,0,0,0,69,0,0,0,255,0,0,157,0,59,0,0,255,0,18,15,0,6,0,255,118,0,101,0,0
0,0,0,255,0,0,255,0,0,255,0,0,4,180,0,136,255,106,0,255,0,0,111,28,0,9,57,198,0,67,0,0,64,248,12,255,0,50,255,0,0,224,0,178,0,0,0,0,33,56,0,79,0,0,0,255,0,0,196,0,0,81,0,197,0,255,0,255,87,0,0,96,0,0,175
255,0,255,0,0,0,157,0,255,0,255,0,135,18,141,191,0,0,0,30,255,0,109,0,56,0,255,124,27,0,0,116,137,0,134,255,0,0,149,62,0,0,0,49,0,0,0,255,0,64,134,0,0,0,0,0,0,0,255,147,0,141,0,0,0,255,0,0,0,171,0,0,0,255,0
0,255,0,135,136,0,0,0,255,0,0,115,30,0,0,243,0,106,117,218,0,0,124,0,0,255,235,0,117,0,212,0,23,144,201,0,107,140,94,88,208,12,0,143,83,0,0,113,159,255,0,183,0,97,0,255,0,0,245,0,255,0,70,0,108,0,0,255,182,0,0,0,255,0,7
255,111,0,163,0,134,0,255,0,31,0,255,0,0,208,0,0,255,0,255,0,0,234,255,0,0,146,124,95,115,188,0,255,0,5,104,0,0,255,0,11,0,66,0,0,0,0,0,0,0,42,31,44,47,206,0,255,0,251,0,255,14,149,45,0,255,0,0,0,43,26,67,0,238,255
0,0,252,0,156,0,84,103,0,5,149,0,255,0,0,62,255,0,142,68,21,0,179,1,199,255,0,255,21,255,0,114,255,188,0,0,255,164,107,0,0,58,0,29,0,0,255,51,8,0,232,86,0,57,255,0,0,255,243,0,0,178,0,172,0,0,255,0,255,0,0,172,231,255,0
67,0,0,254,0,0,0,204,0,0,255,0,255,239,0,255,180,0,94,255,7,2,0,0,255,0,231,0,26,0,124,255,0,60,0,70,73,255,40,248,3,252,0,167,0,255,0,159,0,0,255,0,0,112,0,255,66,241,183,149,236,0,0,255,255,251,149,0,227,169,43,222,20,0,0
0,113,0,0,0,255,93,0,0,134,0,0,0,220,0,0,23,115,0,0,0,86,71,0,245,38,255,129,255,107,0,0,255,0,255,0,86,0,0,70,22,0,0,0,0,0,119,0,169,255,0,255,29,255,60,95,118,28,175,0,255,0,29,255,0,255,0,255,0,213,0,0,104,0,0
0,0,0,5,156,0,0,0,149,127,0,255,0,154,0,112,0,0,207,47,255,0,0,216,0,0,0,255,0,197,237,78,0,0,0,39,0,24,0,0,234,0,2,0,77,0,184,0,0,98,255,0,0,200,0,12,255,0,3,0,255,255,0,255,101,0,228,19,0,0,255,0,0,41,0
250,0,115,180,0,255,0,132,152,126,0,255,255,0,0,0,0,217,255,182,16,0,132,0,255,255,42,178,255,0,0,0,135,0,0,161,0,0,0,117,0,72,142,255,0,255,0,0,120,113,0,255,0,255,0,11,49,0,116,255,0,0,255,0,0,55,255,255,0,255,0,0,41,0,255
74,0,0,0,0,255,0,0,146,120,99,0,0,0,255,164,255,46,0,0,0,255,255,0,255,17,0,0,15,20,0,0,0,0,255,0,0,153,229,23,255,255,0,199,232,21,0,255,0,255,66,171,222,236,137,0,255,29,255,0,0,40,0,115,0,196,83,0,0,0,0,135,0,20,219
0,0,0,0,70,0,0,255,0,113,0,255,0,55,0,255,16,255,0,255,0,0,0,96,0,0,207,170,0,44,255,0,20,77,0,255,0,0,0,0,0,112,81,0,176,48,0,0,0,76,153,117,255,90,175,88,51,225,0,169,0,32,0,255,255,0,40,0,63,0,0,43,30,0,0
255,0,255,186,0,0,255,0,0,0,0,0,0,133,255,198,0,190,121,238,1,131,166,168,255,255,173,255,14,0,0,178,0,0,190,0,0,66,255,0,0,0,0,101,0,0,98,0,255,82,105,254,0,199,150,121,0,255,80,66,0,194,2,242,0,58,89,0,0,0,255,0,0,255,67
0,255,68,146,149,35,0,0,204,0,255,0,0,146,0,122,11,0,0,86,255,0,210,0,203,101,115,224,0,132,255,31,0,0,0,0,0,0,0,102,0,0,255,0,133,136,0,0,0,31,0,255,232,131,255,207,0,219,0,0,255,0,0,0,102,20,177,130,0,136,0,0,255,0,0
113,0,133,0,255,114,0,0,255,178,0,149,104,0,255,0,183,69,59,0,0,0,0,255,105,255,227,84,63,0,149,0,0,255,0,0,0,200,0,98,255,54,194,0,183,0,108,53,0,16,255,0,0,230,255,0,238,95,120,177,0,207,0,0,0,255,0,0,255,142,0,255,0,0,255
242,0,0,255,0,0,0,0,0,255,0,30,0,88,38,0,38,0,255,255,247,0,109,121,0,242,204,0,54,0,0,192,0,0,113,0,0,44,0,0,56,184,0,0,82,0,0,255,0,20,24,0,0,255,0,255,0,0,255,39,0,117,12,0,0,129,126,0,0,41,0,0,0,0,0
0,76,0,167,0,226,0,255,0,255,178,0,0,0,3,0,28,175,0,0,0,251,119,114,255,212,126,77,0,0,78,0,0,0,111,0,0,68,49,20,0,0,167,35,161,14,0,255,255,0,0,230,165,0,0,255,0,0,255,221,8,42,233,0,0,0,184,0,238,0,161,0,191,255,0
251,0,209,0,115,0,95,255,72,255,18,255,255,255,0,142,255,0,0,255,0,234,0,151,32,41,132,0,0,255,0,0,0,215,0,0,255,0,0,0,0,255,0,0,114,255,7,166,0,0,0,0,28,158,231,219,255,0,84,0,175,54,123,0,255,0,72,0,255,195,0,255,40,0,255
0,86,23,102,193,0,0,25,39,0,243,38,110,102,116,0,34,0,23,130,20,0,121,255,95,42,22,0,0,0,48,0,114,230,0,0,1,218,180,49,0,100,0,144,0,0,75,4,255,210,0,0,255,0,195,99,95,0,0,0,217,255,0,0,116,39,22,0,0,255,0,122,255,91,0
1,0,0,132,0,153,148,151,23,0,153,108,103,0,0,255,155,0,255,0,0,76,255,0,0,152,0,250,0,0,0,0,0,0,0,255,51,227,255,0,83,82,126,0,109,0,106,255,0,255,5,208,150,146,0,0,130,189,0,27,188,255,0,0,187,89,0,0,0,255,0,183,8,0,189
255,255,255,0,191,0,243,255,0,0,171,44,210,33,118,81,0,194,0,0,0,14,0,255,219,0,0,253,0,245,98,42,50,0,0,0,0,180,0,217,182,0,75,158,0,255,0,0,81,0,0,71,120,107,0,29,0,0,231,115,255,0,0,1,0,255,0,20,99,124,242,0,0,236,0
0,0,0,254,12,0,0,255,0,255,126,107,58,246,255,0,230,0,204,0,0,90,51,37,255,72,0,105,171,0,0,117,0,0,0,191,0,14,47,49,22,0,0,0,0,0,210,255,72,0,0,29,13,0,0,0,255,0,0,178,0,213,51,152,0,65,27,71,225,0,0,226,0,0,226
210,0,0,0,0,0,205,255,0,0,0,98,255,0,127,197,0,255,0,255,65,0,210,250,21,0,0,0,255,0,0,0,144,101,239,0,83,0,255,255,0,139,255,0,255,0,255,99,0,110,130,0,234,255,0,201,0,0,180,126,149,0,0,0,68,0,14,0,224,0,0,118,255,255,203
0,0,255,0,0,255,58,75,0,255,71,0,255,255,0,76,183,255,255,0,255,255,0,0,77,0,255,0,0,90,255,0,0,0,0,174,0,17,41,0,0,255,0,178,47,219,0,124,6,0,8,34,0,208,0,231,0,255,0,0,175,88,255,137,0,194,0,0,163,123,231,94,0,255,0
0,0,0,185,0,118,0,255,0,130,235,0,41,250,76,117,132,39,7,255,255,44,70,56,0,255,117,0,46,39,43,112,18,16,0,196,21,255,23,0,151,0,0,0,0,0,126,0,0,0,0,247,0,0,255,0,0,130,248,225,0,124,50,0,0,222,0,48,255,44,0,224,170,0,255
