0,16,39,14,22,24,0,0,42,0,0,50,0,0,17,12,0,0,31,0,12,34,54,0,0
27,123,139,63,85,76,121,101,89,136,87,90,20,35,88,81,29,48,37,125,186,107,167,98,19
12,80,18,157,49,90,85,146,104,86,137,105,129,148,113,177,97,129,120,134,107,84,113,0,32
42,130,32,127,96,108,61,104,123,109,101,118,173,144,177,123,127,48,51,77,118,10,68,42,31
0,85,72,150,114,76,138,82,114,154,144,95,171,192,112,76,62,6,38,88,46,0,106,26,0
0,40,56,164,114,138,102,130,133,121,113,192,130,134,68,26,72,34,42,0,60,1,18,69,2
0,104,106,145,127,112,156,105,114,167,110,141,108,68,93,64,10,52,0,37,19,9,80,61,0
18,34,151,153,171,139,127,132,94,43,201,103,74,32,84,73,61,33,4,0,18,8,118,59,25
83,107,144,169,141,141,129,144,87,76,52,95,127,68,7,74,66,44,44,0,43,19,99,45,0
0,84,143,189,179,166,104,98,113,107,70,0,43,121,62,61,82,20,0,44,25,24,126,58,0
0,80,170,173,185,157,169,77,73,153,79,0,0,18,180,70,76,51,12,14,14,0,199,104,0
0,0,158,175,174,162,140,149,143,56,24,32,36,0,7,142,90,121,44,23,12,0,136,55,67
2,0,132,137,210,148,158,163,157,13,0,64,73,32,0,36,104,114,190,51,0,0,95,177,64
0,22,105,138,99,217,183,176,23,75,92,44,41,85,77,0,73,120,162,72,0,64,119,133,81
92,46,69,113,209,133,168,73,56,105,97,66,108,95,75,91,0,89,71,190,10,167,169,65,93
104,10,220,167,152,149,26,17,144,104,93,157,121,83,106,47,117,34,111,160,0,184,217,113,47
0,100,222,228,153,77,51,85,74,57,182,156,124,133,96,110,164,123,86,69,63,160,201,112,28
0,170,149,157,99,77,144,71,116,150,104,119,154,175,150,225,121,165,110,58,72,150,189,107,0
63,146,255,60,40,114,89,221,113,206,128,129,178,140,213,207,171,170,136,73,94,174,78,78,33
11,121,178,75,111,127,198,137,232,217,240,203,148,155,209,143,245,159,158,49,195,171,87,38,68
0,134,72,111,137,168,159,255,220,179,248,248,255,242,135,135,113,198,132,20,240,80,84,20,0
93,226,226,218,194,193,255,185,246,177,145,152,40,130,136,225,194,0,135,84,255,255,112,55,0
0,61,134,141,173,205,57,102,0,88,90,131,128,139,121,0,0,87,98,72,179,137,205,61,0
0,60,0,79,65,88,200,144,108,101,31,0,87,0,58,118,92,139,0,42,134,121,0,0,92
0,136,0,0,37,24,119,85,164,107,77,89,126,102,63,168,99,89,0,0,53,0,0,96,0
